N,runtime
1882,36.724
1883,36.741
1884,36.781
1885,36.814
1886,36.771
1887,36.772
1888,36.802
1889,36.814
1890,36.78
1891,36.845
1892,36.855
1893,36.847
1894,36.833
1895,36.844
1896,36.89
1897,36.872
1898,36.902
1899,36.971
1900,36.936
1901,36.985
1902,36.96
1903,37.169
1904,37.044
1905,37.073
1906,37.121
1907,37.091
1908,37.125
1909,37.112
1910,37.154
1911,37.212
1912,37.175
1913,37.2
1914,37.187
1915,37.243
1916,37.224
1917,37.216
1918,37.21
1919,37.255
1920,37.45
1921,37.254
1922,37.272
1923,37.299
1924,37.328
1925,37.281
1926,37.289
1927,37.355
1928,37.288
1929,37.337
1930,37.383
1931,37.357
1932,37.388
1933,37.336
1934,37.379
1935,37.466
1936,37.44
1937,37.476
1938,37.529
1939,37.565
1940,37.512
1941,37.518
1942,37.564
1943,37.645
1944,37.574
1945,37.619
1946,37.636
1947,37.723
1948,37.696
1949,37.784
1950,37.73
1951,37.726
1952,37.759
1953,37.764
1954,37.79
1955,37.798
1956,37.85
1957,37.858
1958,37.894
1959,37.879
1960,37.906
1961,37.909
1962,37.906
1963,37.962
1964,37.968
1965,38.053
1966,38.03
1967,38.11
1968,38.136
1969,38.121
1970,38.125
1971,38.179
1972,38.139
1973,38.206
1974,38.213
1975,38.184
1976,38.206
1977,38.27
1978,38.255
1979,38.253
1980,38.289
1981,38.364
1982,38.293
1983,38.344
1984,38.415
1985,38.398
1986,38.459
1987,38.479
1988,38.5
1989,38.532
1990,38.536
1991,38.547
1992,38.561
1993,38.591
1994,38.677
1995,39.033
1996,39.025
1997,39.025
1998,39.071
1999,39.132
2000,39.148
