N,runtime,cp_times
1238,29.978,1840
1239,30.01,1840
1240,30.044,1840
1241,30.033,1840
1242,30.043,1840
1243,30.042,1840
1244,30.036,1840
1245,30.07,1840
1246,30.081,1840
1247,30.08,1840
1248,30.112,1840
1249,30.111,1840
1250,30.127,1840
1251,30.136,1840
1252,30.149,1840
1253,30.184,1840
1254,30.175,1840
1255,30.228,1840
1256,30.225,1840
1257,30.206,1840
1258,30.182,1840
1259,30.259,1840
1260,30.242,1840
1261,30.261,1840
1262,30.252,1840
1263,30.277,1840
1264,30.321,1840
1265,30.335,1840
1266,30.241,1840
1267,30.272,1840
1268,30.345,1840
1269,30.342,1840
1270,30.353,1840
1271,30.398,1840
1272,30.403,1840
1273,30.426,1840
1274,30.414,1840
1275,30.43,1840
1276,30.455,1840
1277,30.463,1840
1278,30.458,1840
1279,30.756,1840
1280,30.765,1840
1281,30.768,1840
1282,30.767,1840
1283,30.754,1840
1284,30.812,1840
1285,30.768,1840
1286,30.834,1840
1287,30.809,1840
1288,30.82,1840
1289,30.877,1840
1290,30.888,1840
1291,30.898,1840
1292,30.9,1840
1293,30.902,1840
1294,30.895,1840
1295,30.915,1840
1296,30.915,1840
1297,30.965,1840
1298,30.955,1840
1299,31.036,1840
1300,31.004,1840
1301,31.041,1840
1302,30.996,1840
1303,31.058,1840
1304,31.068,1840
1305,31.038,1840
1306,31.014,1840
1307,31.043,1840
1308,31.06,1840
1309,31.067,1840
1310,31.072,1840
1311,31.081,1840
1312,31.065,1840
1313,31.081,1840
1314,31.116,1840
1315,31.146,1840
1316,31.152,1840
1317,31.126,1840
1318,31.162,1840
1319,31.179,1840
1320,31.202,1840
1321,31.176,1840
1322,31.166,1840
1323,31.179,1840
1324,31.214,1840
1325,31.213,1840
1326,31.246,1840
1327,31.233,1840
1328,31.235,1840
1329,31.266,1840
1330,31.233,1840
1331,31.262,1840
1332,31.247,1840
1333,31.29,1840
1334,31.28,1840
1335,31.275,1840
1336,31.283,1840
1337,31.304,1840
1338,31.349,1840
1339,31.35,1840
1340,31.355,1840
1341,31.344,1840
1342,31.381,1840
1343,31.351,1840
1344,31.383,1840
1345,31.376,1840
1346,31.374,1840
1347,31.419,1840
1348,31.443,1840
1349,31.416,1840
1350,31.447,1840
1351,31.448,1840
